date,ar,en
30/1,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
2/2,ليلة النّصف من شعبان, The night of the middle of Sha'ban
17/2,التماس هلال رمضان ولادة القمر ٢:٠٢ بعد الظهر, The search for the crescent of Ramadan Moon Birth 2:02 PM
6/3, ذكرى غزوة بدر الكبرى (٢ هـ),The anniversary of the Battle of Badr (2 AH)
9/3,ذكرى فتح مكة (٨ هـ), Anniversary of the Conquest of Mecca (8 AH)
15/3, ليلة القدر, Laylat-ul-Qadr
18/3,التماس هلال شوّال, Shawwal Crescent Sighting Moon
19/3,ولادة القمر ٣:٢٥ قبل الفجر, Moon Birth 3:25 AM
20/3, أوّل أيّام عيد الفطر المبارك صلاة العيد ٦:٢٨ صباحاً, The first day of Eid al-Fitr. Eid prayer 6:28 AM
21/3,ميثاق الجامعة العربيّة ويوم الطّفل ويوم الأم, "Arab League Charter, Children's Day and Mother's Day"
22/3,بدء فصل الرّبيع, The beginning of the spring season
23/3,ذكرى غزوة أُحُد (٣ هـ), The anniversary of the Battle of Uhud (3 AH)
28/3,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
29/3,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
30/3,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
31/3,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
1/4,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
2/4,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
3/4,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
7/4,يوم الصحة العالمي, World Health Day
17/4,ولادة القمر ١:٥٣ ظهراً, Moon Birth 1:53 PM
18/4,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
19/4,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
20/4,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
21/4,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
22/4,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
23/4,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
24/4,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
1/5,يوم العمّال, Labor Day
16/5,ولادة القمر ١٠:٠٢ ليلاً, Moon Birth 10:02 PM
26/5,الوقوف في عرفة, Standing at Arafat
27/5,أوّل أيّام عيد الأضحى المبارك صلاة العيد ٦:١٥ صباحاً, The first day of Eid al-Adha. Eid prayer 6:15 AM
30/5,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
31/5,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
1/6,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
2/6,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
3/6,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
4/6,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
5/6,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
15/6,ولادة القمر ٤:٥٥ صباحاً, Moon Birth 4:55 AM
16/6,بداية العام الهجري ١٤٤٨, The beginning of the Hijri year 1448
22/6,بدء فصل الصّيف, The beginning of the summer season
25/6,ذكرى عاشوراء, Ashura commemoration
28/6,يوم الكشّافة, Scout Day
4/7,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
5/7,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
6/7,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
7/7,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
8/7,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
9/7,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
10/7,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
14/7,ولادة القمر ١١:٤٥ ظهراً, Moon Birth 11:45 AM
1/8,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
2/8,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
3/8,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
4/8,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
5/8,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
6/8,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
7/8,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
12/8,ولادة القمر ٧:٣٨ ليلاً, Moon Birth 7:38 PM
21/8,ذكرى حريق المسجد الأقصى ١٩٦٩م, The anniversary of the burning of Al-Aqsa Mosque in 1969
25/8,ذكرى مولد الرسول (صلّى الله عليه وسلّم), The anniversary of the birth of the Prophet (peace be upon him)
11/9,ولادة القمر ٥:٢٨ صباحاً, Moon Birth 5:28 AM
22/9,بدء فصل الخريف, The beginning of the autumn season
26/9,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
27/9,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
28/9,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
29/9,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
30/9,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
1/10,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
2/10,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
4/10,ذكرى معركة حطّين (٥٨٣هـ), The anniversary of the Battle of Hattin (583 AH)
26/10,ذكرى غزوة مؤتة (٨ هـ), The anniversary of the Battle of Mu'tah (8 AH)
31/10,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
1/11,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
2/11,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
3/11,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
4/11,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
5/11,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
6/11,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
9/11,ولادة القمر ٩:٠٣ صباحاً, Moon Birth 9:03 AM
22/11,ذكرى الاستقلال, Independence Day
28/11,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
29/11,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
30/11,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
1/12,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
2/12,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
3/12,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
4/12,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
9/12,ولادة القمر ٢:٥٣ قبل الفجر, Moon Birth 2:53 AM
19/12, ذكرى غزوة تبوك (٩ هـ), The anniversary of the Battle of Tabuk (9 AH)
22/12,بدء فصل الشتاء, The beginning of the winter season
26/12,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
27/12,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
28/12,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
29/12,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
30/12,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
31/12,وَمَن يُعَظِّمْ شَعَائِرَ اللَّهِ فَإِنَّهَا مِن تَقْوَى الْقُلُوبِ (٣٢) [الحج],
